Date,Open,High,Low,Close*,Adj Close**,Volume
9/9/2020,105.38,105.55,103.7,104.7,104.7,"37,939"
9/8/2020,104.1,105.85,104.1,105.78,105.78,"30,851"
9/4/2020,104,104.78,103.5,104.45,104.45,"23,562"
9/3/2020,104.82,105.3,103.57,103.93,103.93,"23,660"
9/2/2020,105.45,105.55,103.38,104.47,104.47,"29,225"
9/1/2020,105.32,105.88,104.75,105.47,105.47,"21,974"
8/31/2020,104,104.5,103.85,104.5,104.5,"22,832"
8/28/2020,103.25,103.65,102.1,103.22,103.22,499
8/27/2020,104,104.1,101.8,102.97,102.97,679
8/26/2020,105.55,105.65,103.5,104.05,104.05,"1,145"
8/25/2020,105.57,106.13,105.1,105.5,105.5,"1,172"
8/24/2020,105.47,105.68,105.03,105.57,105.57,998
8/21/2020,106.65,107.03,105.63,105.8,105.8,977
8/20/2020,107.5,107.7,106.72,107.03,107.03,"1,411"
8/19/2020,107.03,107.65,106.8,107.47,107.47,"2,122"
8/18/2020,107.03,107.15,106.53,106.72,106.72,"3,978"
8/17/2020,107.7,108.22,106.85,106.9,106.9,"3,463"
8/14/2020,107,107.97,106.7,107.6,107.6,"3,890"
8/13/2020,106.7,107.35,106.3,107.05,107.05,"3,103"
8/12/2020,104.75,106.65,104.75,106.35,106.35,"3,752"
8/11/2020,103.6,104.9,103.6,104.65,104.65,"3,933"
8/10/2020,102.8,103.85,102.57,103.6,103.6,"4,212"
8/7/2020,102.6,103.7,102.43,102.8,102.8,"7,718"
8/6/2020,102.78,103.43,102.25,102.63,102.63,"8,722"
8/5/2020,102.15,102.7,101.78,102.3,102.3,"7,778"
8/4/2020,103,103,101.95,102.28,102.28,"7,597"
8/3/2020,103.1,103.43,102.55,103.03,103.03,"10,107"
7/31/2020,102.2,103.15,101.75,102.82,102.82,"8,959"
7/30/2020,101.72,102.18,101,101.72,101.72,"9,535"
7/29/2020,101.3,102,101.05,101.45,101.45,"9,056"
7/28/2020,100.35,101.45,100.3,100.9,100.9,"11,087"
7/27/2020,102.5,102.68,100.35,100.43,100.43,"12,336"
7/24/2020,101,101.65,100.75,101.32,101.32,"6,617"
7/23/2020,101.88,102.4,100.6,100.85,100.85,"10,239"
7/22/2020,101.85,102,100.93,101.5,101.5,"10,368"
7/21/2020,102.6,102.6,101.35,101.85,101.85,"13,177"
7/20/2020,103.07,103.4,101.03,102.28,102.28,"18,744"
7/17/2020,103.13,103.57,102.72,103.28,103.28,"13,173"
7/16/2020,101.57,103.88,101.25,103.28,103.28,"24,848"
7/15/2020,98.9,101.8,98.43,101.3,101.3,"28,483"
7/14/2020,99.57,99.95,98.55,98.8,98.8,"33,979"
7/13/2020,100.22,100.82,99.5,99.65,99.65,"29,796"
7/10/2020,99.53,100.22,99.18,100,100,"29,353"
7/9/2020,99.22,100.43,99,99.25,99.25,"36,578"
7/8/2020,100,100.13,98.93,99.15,99.15,"38,170"
7/7/2020,100,100.38,99.6,100,100,"22,811"
7/6/2020,100.25,101.43,99.72,100.1,100.1,"26,625"
7/2/2020,97.6,100.15,97.15,99.4,99.4,"26,487"
7/1/2020,96.7,97.8,96.2,97.3,97.3,"22,230"
6/30/2020,95.15,95.15,91.38,91.65,91.65,"25,169"
6/29/2020,94.5,95.15,94.5,95,95,981
6/26/2020,93.97,94.95,93.03,94.7,94.7,874
6/25/2020,93.68,94.38,93.68,94.18,94.18,824
6/24/2020,94.03,94.88,93.13,93.3,93.3,818
6/23/2020,94.32,95.22,93.4,93.53,93.53,"2,321"
6/22/2020,94.03,94.55,93.8,94.4,94.4,763
6/19/2020,95.68,96.18,94.5,94.7,94.7,"2,070"
6/18/2020,96.5,96.63,95.75,96.07,96.07,"1,025"
6/17/2020,96,96.65,95.75,96.5,96.5,"1,423"
6/16/2020,96.55,97.38,95.78,96.32,96.32,"1,281"
6/15/2020,95.38,96.5,93.93,96.07,96.07,"2,149"
6/12/2020,96.9,97.47,95.88,96.07,96.07,"1,535"
6/11/2020,96.4,97.38,95.38,96.82,96.82,"2,047"
6/10/2020,96.3,97.32,95.75,96.6,96.6,"2,831"
6/9/2020,93.75,96.8,93.75,96.32,96.32,"2,097"
6/8/2020,94.53,94.82,93.7,94.13,94.13,"3,325"
6/5/2020,95.75,95.95,93.35,93.9,93.9,"8,075"
6/4/2020,95.32,96,95.18,95.72,95.72,"3,927"
6/3/2020,95.03,95.75,94,95.45,95.45,"6,541"
6/2/2020,98.5,98.5,95.3,95.3,95.3,"7,663"
6/1/2020,99.2,99.47,97.1,98.3,98.3,"6,913"
5/29/2020,101.4,101.4,98.82,99.72,99.72,"6,199"
5/28/2020,100.8,101.6,100.4,101.47,101.47,"7,173"
5/27/2020,99.97,101,99.45,100.8,100.8,"7,577"
5/26/2020,98.38,99.82,97.85,99.4,99.4,"6,340"
5/22/2020,98.38,99,96.78,97.7,97.7,"7,077"
5/21/2020,98.78,99.2,97.97,98.8,98.8,"7,046"
5/20/2020,99,99.78,97.82,98.4,98.4,"11,559"
5/19/2020,98.6,99.25,97.43,98.78,98.78,"9,623"
5/18/2020,98,100,97.18,98.72,98.72,"21,673"
5/15/2020,94.65,97.13,94.13,97,97,"30,772"
5/14/2020,93.9,95.85,93.03,94.13,94.13,"20,199"
5/13/2020,97.5,98.85,93.47,93.88,93.88,"57,295"
5/12/2020,93.2,97.18,93.15,97.18,97.18,"25,020"
5/11/2020,95.65,96.13,92.03,92.68,92.68,"30,230"
5/8/2020,96,98.47,93.7,94.65,94.65,"62,397"
5/7/2020,91.75,93.97,91.63,93.97,93.97,"28,324"
5/6/2020,86.32,89.47,86.15,89.47,89.47,"19,523"
5/5/2020,88.78,88.9,85.95,86.47,86.47,"22,306"
